,Unnamed: 0,Company (Maker-if known),Specific Bean Origin or Bar Name,REF,Review Date,Cocoa Percent,Company Location,Rating,Bean Type,Broad Bean Origin
43,43,Alexandre,"Makwale Village, Kyela",1944,2017,70,Netherlands,3.5,Forastero,Tanzania
44,44,Altus aka Cao Artisan,Momotombo,1728,2016,60,U.S.A.,2.75, ,Nicaragua
45,45,Altus aka Cao Artisan,Acopagro,1728,2016,60,U.S.A.,3.0, ,Peru
46,46,Altus aka Cao Artisan,CIAAB Coop,1732,2016,60,U.S.A.,2.5, ,Bolivia
47,47,Altus aka Cao Artisan,Villa Andina,1732,2016,60,U.S.A.,2.5, ,Peru
48,48,Altus aka Cao Artisan,Gruppo Salinas,1732,2016,60,U.S.A.,2.75, ,Ecuador
49,49,Altus aka Cao Artisan,Sur del Lago,1125,2013,60,U.S.A.,2.5, ,Venezuela
50,50,Altus aka Cao Artisan,Conacado,1125,2013,60,U.S.A.,3.0,Trinitario,Dominican Republic
51,51,Altus aka Cao Artisan,Bolivia,1129,2013,80,U.S.A.,3.25, ,Bolivia
52,52,Altus aka Cao Artisan,Bolivia,1133,2013,60,U.S.A.,3.0, ,Bolivia
53,53,Altus aka Cao Artisan,Peru,1133,2013,60,U.S.A.,3.25, ,Peru
54,54,Amano,Morobe,725,2011,70,U.S.A.,4.0, ,Papua New Guinea
55,55,Amano,Dos Rios,470,2010,70,U.S.A.,3.75, ,Dominican Republic
56,56,Amano,Guayas,470,2010,70,U.S.A.,4.0, ,Ecuador
57,57,Amano,Chuao,544,2010,70,U.S.A.,3.0,Trinitario,Venezuela
58,58,Amano,Montanya,363,2009,70,U.S.A.,3.0, ,Venezuela
59,59,Amano,"Bali, Jembrana",304,2008,70,U.S.A.,2.75, ,Indonesia
60,60,Amano,Madagascar,129,2007,70,U.S.A.,3.5,Trinitario,Madagascar
61,61,Amano,Cuyagua,147,2007,70,U.S.A.,3.0, ,Venezuela
62,62,Amano,Ocumare,175,2007,70,U.S.A.,3.75,Criollo,Venezuela
63,63,Amatller (Simon Coll),Ghana,322,2009,70,Spain,3.0,Forastero,Ghana
64,64,Amatller (Simon Coll),Ecuador,327,2009,70,Spain,2.75, ,Ecuador
65,65,Amatller (Simon Coll),Ecuador,464,2009,85,Spain,2.75, ,Ecuador
66,66,Amatller (Simon Coll),Ghana,464,2009,85,Spain,3.0,Forastero,Ghana
67,67,Amazona,"LamasdelChanka, San Martin, Oro Verde coop",1145,2013,72,Peru,3.25, ,Peru
68,68,Amazona,"Bellavista Gran Pajeten, San Martin",1145,2013,73,Peru,3.5,Trinitario,Peru
69,69,Ambrosia,Belize,1494,2015,64,Canada,3.0,Trinitario,Belize
70,70,Ambrosia,Madagascar,1494,2015,66,Canada,3.25,Trinitario,Madagascar
71,71,Ambrosia,Dominican Republic,1498,2015,75,Canada,3.25, ,Dominican Republic
72,72,Ambrosia,Papua New Guinea,1498,2015,63,Canada,3.25, ,Papua New Guinea
73,73,Ambrosia,Venezuela,1498,2015,70,Canada,3.25, ,Venezuela
74,74,Ambrosia,Peru,1498,2015,68,Canada,3.5, ,Peru
75,75,Amedei,"Piura, Blanco de Criollo",979,2012,70,Italy,3.75, ,Peru
76,76,Amedei,Porcelana,111,2007,70,Italy,4.0,Criollo (Porcelana),Venezuela
77,77,Amedei,Nine,111,2007,75,Italy,4.0,Blend, 
78,78,Amedei,Chuao,111,2007,70,Italy,5.0,Trinitario,Venezuela
79,79,Amedei,Ecuador,123,2007,70,Italy,3.0,Trinitario,Ecuador
80,80,Amedei,Jamaica,123,2007,70,Italy,3.0,Trinitario,Jamaica
81,81,Amedei,Grenada,123,2007,70,Italy,3.5,Trinitario,Grenada
82,82,Amedei,Venezuela,123,2007,70,Italy,3.75,Trinitario (85% Criollo),Venezuela
83,83,Amedei,Madagascar,123,2007,70,Italy,4.0,Trinitario (85% Criollo),Madagascar
84,84,Amedei,Trinidad,129,2007,70,Italy,3.5,Trinitario,Trinidad
85,85,Amedei,Toscano Black,170,2007,63,Italy,3.5,Blend, 
86,86,Amedei,Toscano Black,40,2006,70,Italy,5.0,Blend, 
87,87,Amedei,Toscano Black,75,2006,66,Italy,4.0,Blend, 
88,88,AMMA,Catongo,1065,2013,75,Brazil,3.25,Forastero (Catongo),Brazil
89,89,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,85,Brazil,2.75,Forastero (Parazinho),Brazil
90,90,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,50,Brazil,3.75,Forastero (Parazinho),Brazil
91,91,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,75,Brazil,3.75,Forastero (Parazinho),Brazil
92,92,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,60,Brazil,4.0,Forastero (Parazinho),Brazil
93,93,Anahata,Elvesia,1259,2014,75,U.S.A.,3.0, ,Dominican Republic
94,94,Animas,Alto Beni,1852,2016,75,U.S.A.,3.5, ,Bolivia
95,95,Ara,Madagascar,1375,2014,75,France,3.0,Trinitario,Madagascar
96,96,Ara,Chiapas,1379,2014,72,France,2.5, ,Mexico
97,97,Ara,Equateur,1379,2014,75,France,2.75, ,Ecuador
98,98,Ara,Trincheras,1379,2014,75,France,3.0, ,Venezuela
99,99,Arete,San Juan,1724,2016,70,U.S.A.,3.5,Trinitario,Trinidad
100,100,Arete,Kokoa Kamili,1724,2016,70,U.S.A.,3.75, ,Tanzania
101,101,Arete,Tien Giang,1900,2016,73,U.S.A.,3.5,Trinitario,Vietnam
102,102,Arete,Hacienda Victoria,1904,2016,70,U.S.A.,3.25, ,Ecuador
103,103,Arete,Costa Esmeraldas,1904,2016,70,U.S.A.,3.25, ,Ecuador
104,104,Arete,Lachua,1904,2016,70,U.S.A.,3.5, ,Guatemala
105,105,Arete,Rugoso,1904,2016,70,U.S.A.,3.75, ,Nicaragua
106,106,Arete,"La Masica, FHIA",1908,2016,70,U.S.A.,3.5, ,Honduras
107,107,Arete,"Coto Brus, Terciopelo",1908,2016,70,U.S.A.,4.0, ,Costa Rica
108,108,Arete,Phantom,1924,2016,70,U.S.A.,4.0,Forastero (Nacional),Peru
109,109,Arete,Elvesia,1928,2016,70,U.S.A.,3.75, ,Dominican Republic
110,110,Arete,Matasawalevu,1928,2016,70,U.S.A.,3.25, ,Fiji
111,111,Arete,Lam Dong,1928,2016,73,U.S.A.,3.25, ,Vietnam
112,112,Arete,Fazenda Camboa,1534,2015,70,U.S.A.,3.5, ,Brazil
113,113,Arete,Nacional,1534,2015,68,U.S.A.,3.5,Forastero (Nacional),Peru
114,114,Arete,"Puerto Quito, heirloom",1534,2015,70,U.S.A.,3.75,Forastero (Nacional),Ecuador
115,115,Arete,Oko Caribe,1598,2015,70,U.S.A.,3.5, ,Domincan Republic
116,116,Arete,Maya Mountain,1598,2015,70,U.S.A.,3.75,Trinitario,Belize
117,117,Arete,Chuno,1598,2015,70,U.S.A.,4.0,"Criollo, Trinitario",Nicaragua
118,118,Arete,Fazenda Camboa,1602,2015,75,U.S.A.,2.75, ,Brazil
119,119,Arete,Guatemala,1602,2015,70,U.S.A.,3.25, ,Guatemala
120,120,Arete,Camino Verde,1602,2015,75,U.S.A.,3.5, ,Ecuador
121,121,Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",1193,2013,72,U.K.,3.25,Trinitario,Trinidad
122,122,Artisan du Chocolat,"Colombia, Casa Luker",947,2012,72,U.K.,3.75, ,Colombia
123,123,Artisan du Chocolat,Haiti,729,2011,72,U.K.,4.0, ,Haiti
124,124,Artisan du Chocolat,Panama,745,2011,72,U.K.,2.75, ,Panama
125,125,Artisan du Chocolat,Venezuela,486,2010,100,U.K.,1.75, ,Venezuela
126,126,Artisan du Chocolat,Jamaica,531,2010,72,U.K.,3.75,Trinitario,Jamaica
127,127,Artisan du Chocolat,Costa Rica,600,2010,72,U.K.,3.25, ,Costa Rica
128,128,Artisan du Chocolat,Ba Ria Vung Tau Province,600,2010,72,U.K.,3.25,Trinitario,Vietnam
129,129,Artisan du Chocolat,Bali,600,2010,72,U.K.,3.5, ,Indonesia
130,130,Artisan du Chocolat,"Ocumare, Venezuela",355,2009,75,U.K.,2.5,"Criollo, Trinitario",Venezuela
131,131,Artisan du Chocolat,Java,355,2009,72,U.K.,2.75,Trinitario,Indonesia
132,132,Artisan du Chocolat,Brazil Rio Doce,363,2009,72,U.K.,1.75, ,Brazil
133,133,Artisan du Chocolat,Madagascar,363,2009,80,U.K.,3.0,"Criollo, Trinitario",Madagascar
134,134,Artisan du Chocolat,Peru,363,2009,75,U.K.,3.0,Criollo,Peru
135,135,Artisan du Chocolat,Dominican Republic,363,2009,72,U.K.,3.25,Trinitario,Dominican Republic
136,136,Artisan du Chocolat,Congo,300,2008,72,U.K.,3.75,Forastero,Congo
137,137,Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",1181,2013,72,U.K.,2.75,Trinitario,Colombia
138,138,Askinosie,Mababa,1780,2016,68,U.S.A.,3.75,Trinitario,Tanzania
139,139,Askinosie,"Tenende, Uwate",647,2011,72,U.S.A.,3.75,Trinitario,Tanzania
140,140,Askinosie,Cortes,661,2011,70,U.S.A.,3.75,Trinitario,Honduras
141,141,Askinosie,Davao,331,2009,77,U.S.A.,3.75,Trinitario,Philippines
142,142,Askinosie,Xoconusco,141,2007,75,U.S.A.,2.5,Trinitario,Mexico
143,143,Askinosie,San Jose del Tambo,175,2007,70,U.S.A.,3.0,Forastero (Arriba),Ecuador
144,144,Bahen & Co.,Houseblend,1474,2015,80,Australia,3.25, , 
145,145,Bahen & Co.,Papua New Guinea,1474,2015,70,Australia,3.5, ,Papua New Guinea
146,146,Bahen & Co.,Sambirano,995,2012,70,Australia,3.0,Trinitario,Madagascar
147,147,Bahen & Co.,Bahia,999,2012,70,Australia,2.5, ,Brazil
148,148,Bahen & Co.,Houseblend,999,2012,70,Australia,2.5,Blend, 
149,149,Bakau,"Bambamarca, 2015",1454,2015,70,Peru,2.75, ,Peru
150,150,Bakau,"Huallabamba, 2015",1454,2015,70,Peru,3.5, ,Peru
151,151,Bar Au Chocolat,Bahia,1554,2015,70,U.S.A.,3.5, ,Brazil
152,152,Bar Au Chocolat,Maranon Canyon,1295,2014,70,U.S.A.,4.0,Forastero (Nacional),Peru
153,153,Bar Au Chocolat,Duarte Province,983,2012,70,U.S.A.,3.25, ,Dominican Republic
154,154,Bar Au Chocolat,Chiapas,983,2012,70,U.S.A.,3.5, ,Mexico
155,155,Bar Au Chocolat,Sambirano,983,2012,70,U.S.A.,3.75,Trinitario,Madagascar
156,156,Baravelli's,single estate,955,2012,80,Wales,2.75, ,Costa Rica
157,157,Batch,"Dominican Republic, Batch 3",1840,2016,65,U.S.A.,3.5, ,Domincan Republic
158,158,Batch,Brazil,1868,2016,70,U.S.A.,3.75, ,Brazil
159,159,Batch,Ecuador,1880,2016,65,U.S.A.,3.25, ,Ecuador
160,160,Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",1948,2017,73,U.K.,3.0, ,Malaysia
161,161,Beau Cacao,"Serian E., NW Borneo, b. #134/3800",1948,2017,72,U.K.,3.25, ,Malaysia
162,162,Beehive,"Brazil, Batch 20316",1784,2016,80,U.S.A.,2.75, ,Brazil
163,163,Beehive,"Dominican Republic, Batch 31616",1784,2016,70,U.S.A.,2.75, ,Domincan Republic
164,164,Beehive,"Ecuador, Batch 31516",1784,2016,70,U.S.A.,2.75, ,Ecuador
165,165,Beehive,Ecuador,1788,2016,90,U.S.A.,2.75, ,Ecuador
166,166,Belcolade,Costa Rica,586,2010,64,Belgium,2.75, ,Costa Rica
167,167,Belcolade,Papua New Guinea,586,2010,64,Belgium,2.75, ,Papua New Guinea
168,168,Belcolade,Peru,586,2010,64,Belgium,2.75, ,Peru
169,169,Belcolade,Ecuador,586,2010,71,Belgium,3.5, ,Ecuador
170,170,Bellflower,"Kakao Kamili, Kilombero Valley",1800,2016,70,U.S.A.,3.5,"Criollo, Trinitario",Tanzania
171,171,Bellflower,"Alto Beni, Palos Blanco",1804,2016,70,U.S.A.,3.25, ,Bolivia
172,172,Bellflower,"Oko Caribe, Duarte P.",1864,2016,70,U.S.A.,3.5, ,Domincan Republic
173,173,Belyzium,"Belize south, low fermentation",1768,2016,83,Germany,2.75,Trinitario,Belize
174,174,Belyzium,Belize south,1768,2016,79,Germany,3.0,Trinitario,Belize
175,175,Belyzium,Belize south,1768,2016,83,Germany,3.5,Trinitario,Belize
176,176,Benoit Nihant,Baracoa,1141,2013,74,Belgium,3.5,Trinitario,Cuba
177,177,Benoit Nihant,Chuao,1141,2013,74,Belgium,3.5,Criollo,Venezuela
178,178,Benoit Nihant,Cuyagua Village,1141,2013,74,Belgium,3.5,Criollo,Venezuela
179,179,Benoit Nihant,Rio Peripa H.,1141,2013,73,Belgium,4.0,Trinitario,Ecuador
180,180,Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,72,Belgium,4.0,Trinitario,Indonesia
181,181,Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",773,2011,72,Belgium,3.75,Trinitario,Madagascar
182,182,Bernachon,Nature,797,2012,55,France,2.75, , 
183,183,Beschle (Felchlin),Madagascar,636,2011,64,Switzerland,3.0,Trinitario,Madagascar
184,184,Beschle (Felchlin),Maracaibo,636,2011,88,Switzerland,3.0,Criollo,Venezuela
185,185,Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",636,2011,72,Switzerland,3.5, ,Venezuela
186,186,Beschle (Felchlin),Ecuador,636,2011,72,Switzerland,4.0, ,Ecuador
187,187,Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",508,2010,70,Switzerland,3.25,Trinitario,Venezuela
188,188,Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",508,2010,74,Switzerland,3.25,Criollo (Porcelana),Venezuela
189,189,Beschle (Felchlin),"Java, Grand Cru",508,2010,64,Switzerland,3.5, ,Indonesia
190,190,Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",508,2010,72,Switzerland,3.5, ,Venezuela
191,191,Bisou,"Nicaragua, American style",1482,2015,76,U.S.A.,2.5, ,Nicaragua
192,192,Bisou,"San Andres, American style",1486,2015,76,U.S.A.,2.5, ,Costa Rica
193,193,Bisou,"San Andres, silk",1486,2015,78,U.S.A.,2.5, ,Costa Rica
194,194,Bisou,Belize,1486,2015,86,U.S.A.,3.25,Trinitario,Belize
195,195,Bittersweet Origins,Ghana,963,2012,72,U.S.A.,3.5,Forastero,Ghana
196,196,Bittersweet Origins,"Bali, Singaraja",478,2010,75,U.S.A.,3.25, ,Indonesia
197,197,Bittersweet Origins,2009 Hapa Nibby,502,2010,70,U.S.A.,3.75,Blend,"Dominican Rep., Bali"
198,198,Bittersweet Origins,"Bali, Singaraja",558,2010,65,U.S.A.,2.75, ,Indonesia
199,199,Bittersweet Origins,"Sambirano, 2009",565,2010,70,U.S.A.,3.0,Trinitario,Madagascar
200,200,Bittersweet Origins,"Ocumare, prototype",565,2010,78,U.S.A.,3.0,Criollo,Venezuela
201,201,Bittersweet Origins,Puerto Plata,414,2009,75,U.S.A.,3.0, ,Dominican Republic
202,202,Bittersweet Origins,Puerto Plata,414,2009,65,U.S.A.,3.5, ,Dominican Republic
203,203,Bittersweet Origins,Sambirano,423,2009,75,U.S.A.,3.25,Trinitario,Madagascar
204,204,Bittersweet Origins,Sambirano,431,2009,65,U.S.A.,3.5,Trinitario,Madagascar
205,205,Bittersweet Origins,Sambirano,233,2008,71,U.S.A.,3.0,Trinitario,Madagascar
206,206,Bittersweet Origins,Bocas del Toro,233,2008,75,U.S.A.,3.5, ,Panama
207,207,Bittersweet Origins,Puerto Plata,233,2008,68,U.S.A.,3.75, ,Dominican Republic
208,208,Bittersweet Origins,Ankasa,256,2008,70,U.S.A.,3.0,Forastero,Ghana
209,209,Black Mountain,La Red,256,2008,70,U.S.A.,2.75, ,Dominican Republic
210,210,Black Mountain,Carenero Superior,256,2008,70,U.S.A.,2.75,Trinitario,Venezuela
211,211,Black Mountain,Matiguas,256,2008,70,U.S.A.,3.0, ,Nicaragua
212,212,Black River (A. Morin),Blue Mountain Region,1331,2014,70,U.K.,2.75,Trinitario,Jamaica
213,213,Blanxart,"Congo, Grand Cru",1046,2013,82,Spain,3.5,Forastero,Congo
214,214,Blanxart,Organic Dark,322,2009,72,Spain,2.75, , 
215,215,Blue Bandana,"Akesson's E., Sambirano V.",1740,2016,82,U.S.A.,3.5,Trinitario,Madagascar
216,216,Blue Bandana,Lachua,1752,2016,75,U.S.A.,2.75, ,Guatemala
217,217,Blue Bandana,Kokoa Kamili,1752,2016,75,U.S.A.,3.5, ,Tanzania
218,218,Blue Bandana,Zorzal Reserva,1756,2016,75,U.S.A.,3.0, ,Dominican Republic
219,219,Blue Bandana,Guatemala,911,2012,70,U.S.A.,3.5, ,Guatemala
220,220,Blue Bandana,Madagascar,911,2012,70,U.S.A.,3.75,Trinitario,Madagascar
221,221,Bonnat,Selva Maya,1912,2016,75,France,3.5, ,Mexico
222,222,Bonnat,Kaori,1339,2014,75,France,4.0, ,Brazil
223,223,Bonnat,"Los Colorados, Santo Domingo, Equateur",1418,2014,75,France,3.25, ,Dominican Republic
224,224,Bonnat,Surfin,1418,2014,65,France,3.75, ,"Venez,Africa,Brasil,Peru,Mex"
225,225,Bonnat,Maragnam,1038,2013,75,France,3.5, ,Brazil
226,226,Bonnat,Gabon,1042,2013,75,France,3.25, ,Gabon
227,227,Bonnat,Cuba,629,2011,75,France,3.5,Trinitario,Cuba
228,228,Bonnat,"Cusco, Cacao Cusco",629,2011,75,France,3.5, ,Peru
229,229,Bonnat,Piura Blanco,629,2011,75,France,3.5,Forastero (Nacional),Peru
230,230,Bonnat,Libanio,629,2011,75,France,3.75, ,Brazil
231,231,Bonnat,Haiti,629,2011,75,France,4.0, ,Haiti
232,232,Bonnat,"Madagascar, 100% criollo",629,2011,75,France,4.0,Criollo,Madagascar
233,233,Bonnat,Juliana,672,2011,75,France,3.5, ,Brazil
234,234,Bonnat,Jamaique,761,2011,75,France,3.25,Trinitario,Jamaica
235,235,Bonnat,Ivory Coast,331,2009,75,France,3.0, ,Ivory Coast
236,236,Bonnat,"Porcelana, Apotequil",336,2009,75,France,2.75,Criollo,Peru
237,237,Bonnat,"Porcelana, Tabasco, Marfil de Blanco",336,2009,75,France,3.0,Criollo,Mexico
238,238,Bonnat,"Xoconusco, cacao Real",395,2009,75,France,3.0,Criollo,Mexico
239,239,Bonnat,"Porcelana, Venezuela",199,2008,75,France,4.0,Criollo (Porcelana),Venezuela
240,240,Bonnat,Equateur,123,2007,75,France,2.5,Forastero (Arriba),Ecuador
241,241,Bonnat,Trinite,24,2006,75,France,3.75,Trinitario,Carribean
242,242,Bonnat,"Ocumare, Puerto Cabello",32,2006,75,France,4.0, ,Venezuela
243,243,Bonnat,"Maracaibo, El Rosario",48,2006,75,France,4.0,Criollo,Venezuela
244,244,Bonnat,Madagascar,75,2006,75,France,4.0,Trinitario,Madagascar
245,245,Bonnat,One Hundred,81,2006,100,France,1.5, , 
246,246,Bonnat,Ceylan,81,2006,75,France,3.0, ,Sri Lanka
247,247,Bonnat,Chuao,81,2006,75,France,4.0,Trinitario,Venezuela
248,248,Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",316,2009,77,Ecuador,3.25,Forastero (Arriba),Ecuador
249,249,Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",341,2009,100,Ecuador,1.5,Forastero (Arriba),Ecuador
250,250,Bowler Man,Maya Mountain,1267,2014,70,U.S.A.,2.75,Trinitario,Belize
251,251,Bowler Man,Conacado,1271,2014,70,U.S.A.,2.75, ,Dominican Republic
252,252,Brasstown aka It's Chocolate,"Guasare, Zulia Prov.",1868,2016,70,U.S.A.,3.5,Criollo,Venezuela
253,253,Brasstown aka It's Chocolate,"O'payo, Waslala",1868,2016,70,U.S.A.,3.75, ,Nicaragua
254,254,Brasstown aka It's Chocolate,Conacado,1462,2015,68,U.S.A.,3.75, ,Dominican Republic
255,255,Brasstown aka It's Chocolate,Maya Mountain,1255,2014,70,U.S.A.,3.75,Trinitario,Belize
256,256,Brasstown aka It's Chocolate,Chuao,1355,2014,70,U.S.A.,4.0,Trinitario,Venezuela
257,257,Brasstown aka It's Chocolate,Cooproagro,1125,2013,72,U.S.A.,3.0,Trinitario,Dominican Republic
258,258,Brasstown aka It's Chocolate,"Camino Verde, Guayas",1125,2013,70,U.S.A.,3.25, ,Ecuador
259,259,Brasstown aka It's Chocolate,Ghana,1129,2013,75,U.S.A.,3.5,Forastero,Ghana
260,260,Brasstown aka It's Chocolate,"Chuao, Mantuano blend",1129,2013,85,U.S.A.,3.5,Trinitario,Venezuela
261,261,Brazen,Elvesia P.,1514,2015,60,U.S.A.,3.0, ,Dominican Republic
262,262,Brazen,Elvesia P.,1514,2015,80,U.S.A.,3.25, ,Dominican Republic
263,263,Brazen,"Alta Verapaz, 2014",1514,2015,70,U.S.A.,3.5, ,Guatemala
264,264,Brazen,Ambolikapiky P.,1518,2015,80,U.S.A.,2.75, ,Madagascar
265,265,Brazen,Maya Mountain,1518,2015,80,U.S.A.,3.25,Trinitario,Belize
266,266,Brazen,Ambolikapkly P.,1518,2015,60,U.S.A.,3.25, ,Madagascar
267,267,Breeze Mill,Jamaica,1149,2013,70,U.S.A.,3.0,Trinitario,Jamaica
268,268,Bright,Somia Plantation,1231,2014,72,Australia,3.0,Trinitario,Madagascar
269,269,Bright,Marabel Farms,1231,2014,70,Australia,3.5, ,Dominican Republic
270,270,Bright,"Camino Verde, Balao, Guayas",1231,2014,72,Australia,3.5, ,Ecuador
271,271,Bright,Gran Couva,1235,2014,68,Australia,2.75,Trinitario,Trinidad
272,272,Britarev,Ecuador,1638,2015,70,Russia,3.25, ,Ecuador
273,273,Bronx Grrl Chocolate,Dominican Republic,1181,2013,68,U.S.A.,2.75, ,Dominican Republic
274,274,Burnt Fork Bend,Trinidad,1299,2014,72,U.S.A.,3.25,Trinitario,Trinidad
275,275,Burnt Fork Bend,Mindo,1299,2014,72,U.S.A.,3.5, ,Ecuador
276,276,Burnt Fork Bend,Belize,1303,2014,72,U.S.A.,3.25,Trinitario,Belize
277,277,Burnt Fork Bend,Blend,1303,2014,72,U.S.A.,3.25,Blend, 
278,278,Burnt Fork Bend,"Ecuador, Bob Bar",1323,2014,60,U.S.A.,2.5, ,Ecuador
279,279,Cacao Arabuco,Puerto Rico,1606,2015,70,Puerto Rico,2.5, ,Puerto Rico
280,280,Cacao Atlanta,Tumbes,1215,2014,75,U.S.A.,2.5,Criollo,Peru
281,281,Cacao Atlanta,"Dominican Republic, ""Love Bar""",502,2010,75,U.S.A.,2.5, ,Dominican Republic
282,282,Cacao Atlanta,Dominican Republic w/ nibs,502,2010,75,U.S.A.,2.75, ,Dominican Republic
283,283,Cacao Atlanta,Patanemo,600,2010,75,U.S.A.,2.25, ,Venezuela
284,284,Cacao Barry,Grand 'Anse,1716,2016,65,France,3.5,"Trinitario, Criollo",Haiti
285,285,Cacao Barry,Santo Domingo,586,2010,70,France,3.0, ,Dominican Republic
286,286,Cacao Barry,Tanzania,300,2008,75,France,2.0, ,Tanzania
287,287,Cacao Barry,Venezuela,141,2007,72,France,2.0, ,Venezuela
288,288,Cacao Barry,Mexico,147,2007,66,France,3.0, ,Mexico
289,289,Cacao de Origen,Chuao,1688,2015,77,Venezuela,3.5,Trinitario,Venezuela
290,290,Cacao de Origen,Rio Caribe,1692,2015,75,Venezuela,3.25,Trinitario,Venezuela
291,291,Cacao de Origen,Agua Fria; Sucre region,1391,2014,75,Venezuela,2.5, ,Venezuela
292,292,Cacao de Origen,Macuare; Miranda; Chloe formula,1391,2014,74,Venezuela,3.25, ,Venezuela
293,293,Cacao de Origen,"Chuao, Aragua region",1391,2014,75,Venezuela,3.5,Trinitario,Venezuela
